County,Office,Candidate,Party,District,Votes
Adams,Secretary of State,John Fernandez,Democratic,Statewide,3577
Boone,Secretary of State,John Fernandez,Democratic,Statewide,2411
Clay,Secretary of State,John Fernandez,Democratic,Statewide,3135
Clinton,Secretary of State,John Fernandez,Democratic,Statewide,2655
Dearborn,Secretary of State,John Fernandez,Democratic,Statewide,3284
Bartholomew,Secretary of State,John Fernandez,Democratic,Statewide,6176
Brown,Secretary of State,John Fernandez,Democratic,Statewide,2274
Carroll,Secretary of State,John Fernandez,Democratic,Statewide,2201
Cass,Secretary of State,John Fernandez,Democratic,Statewide,3836
Benton,Secretary of State,John Fernandez,Democratic,Statewide,1065
Blackford,Secretary of State,John Fernandez,Democratic,Statewide,1683
Clark,Secretary of State,John Fernandez,Democratic,Statewide,11706
Allen,Secretary of State,John Fernandez,Democratic,Statewide,24323
Crawford,Secretary of State,John Fernandez,Democratic,Statewide,1663
DeKalb,Secretary of State,John Fernandez,Democratic,Statewide,2779
Delaware,Secretary of State,John Fernandez,Democratic,Statewide,14963
Elkhart,Secretary of State,John Fernandez,Democratic,Statewide,12197
Daviess,Secretary of State,John Fernandez,Democratic,Statewide,2727
Decatur,Secretary of State,John Fernandez,Democratic,Statewide,2384
Dubois,Secretary of State,John Fernandez,Democratic,Statewide,4477
Benton,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,184
Brown,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,346
Clark,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,899
Bartholomew,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,662
Blackford,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,157
Boone,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,455
Decatur,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,293
Delaware,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,1402
Allen,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,2565
Cass,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,391
Dearborn,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,476
Elkhart,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,1373
Adams,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,367
Carroll,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,249
Clay,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,296
Clinton,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,346
Crawford,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,168
Daviess,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,294
DeKalb,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,329
Dubois,Secretary of State,Rebecca Sink-Burris,Libertarian,Statewide,221
Bartholomew,Secretary of State,Todd Rokita,Republican,Statewide,10776
Blackford,Secretary of State,Todd Rokita,Republican,Statewide,1901
Boone,Secretary of State,Todd Rokita,Republican,Statewide,8272
Decatur,Secretary of State,Todd Rokita,Republican,Statewide,4120
Delaware,Secretary of State,Todd Rokita,Republican,Statewide,15541
Benton,Secretary of State,Todd Rokita,Republican,Statewide,1708
Brown,Secretary of State,Todd Rokita,Republican,Statewide,2799
Clark,Secretary of State,Todd Rokita,Republican,Statewide,10583
Dubois,Secretary of State,Todd Rokita,Republican,Statewide,4589
Adams,Secretary of State,Todd Rokita,Republican,Statewide,5297
Carroll,Secretary of State,Todd Rokita,Republican,Statewide,3815
Clay,Secretary of State,Todd Rokita,Republican,Statewide,3828
Clinton,Secretary of State,Todd Rokita,Republican,Statewide,4815
Crawford,Secretary of State,Todd Rokita,Republican,Statewide,1425
Daviess,Secretary of State,Todd Rokita,Republican,Statewide,4387
DeKalb,Secretary of State,Todd Rokita,Republican,Statewide,5314
Allen,Secretary of State,Todd Rokita,Republican,Statewide,39255
Cass,Secretary of State,Todd Rokita,Republican,Statewide,6594
Dearborn,Secretary of State,Todd Rokita,Republican,Statewide,5555
Elkhart,Secretary of State,Todd Rokita,Republican,Statewide,24773
Bartholomew,Auditor of State,Barbara Huston,Democratic,Statewide,5568
Blackford,Auditor of State,Barbara Huston,Democratic,Statewide,1575
Boone,Auditor of State,Barbara Huston,Democratic,Statewide,2157
Carroll,Auditor of State,Barbara Huston,Democratic,Statewide,2013
Cass,Auditor of State,Barbara Huston,Democratic,Statewide,3601
