County,Office,Candidate,Party,District,Votes
Bartholomew,President,Barack Obama,Democratic,Statewide,10625
Allen,President,Barack Obama,Democratic,Statewide,60036
Carroll,President,Barack Obama,Democratic,Statewide,2635
Crawford,President,Barack Obama,Democratic,Statewide,2041
Daviess,President,Barack Obama,Democratic,Statewide,2437
DeKalb,President,Barack Obama,Democratic,Statewide,5419
Dubois,President,Barack Obama,Democratic,Statewide,6522
Blackford,President,Barack Obama,Democratic,Statewide,1927
Boone,President,Barack Obama,Democratic,Statewide,8328
Dearborn,President,Barack Obama,Democratic,Statewide,6528
Elkhart,President,Barack Obama,Democratic,Statewide,24399
Adams,President,Barack Obama,Democratic,Statewide,3806
Clark,President,Barack Obama,Democratic,Statewide,20807
Clay,President,Barack Obama,Democratic,Statewide,3460
Clinton,President,Barack Obama,Democratic,Statewide,3308
Delaware,President,Barack Obama,Democratic,Statewide,22654
Benton,President,Barack Obama,Democratic,Statewide,1159
Brown,President,Barack Obama,Democratic,Statewide,3060
Cass,President,Barack Obama,Democratic,Statewide,5371
Decatur,President,Barack Obama,Democratic,Statewide,2941
Blackford,President,Gary Johnson,Libertarian,Statewide,103
Boone,President,Gary Johnson,Libertarian,Statewide,593
Brown,President,Gary Johnson,Libertarian,Statewide,204
Dearborn,President,Gary Johnson,Libertarian,Statewide,434
Decatur,President,Gary Johnson,Libertarian,Statewide,243
Delaware,President,Gary Johnson,Libertarian,Statewide,1063
Elkhart,President,Gary Johnson,Libertarian,Statewide,1044
Allen,President,Gary Johnson,Libertarian,Statewide,2197
Bartholomew,President,Gary Johnson,Libertarian,Statewide,608
Carroll,President,Gary Johnson,Libertarian,Statewide,169
Cass,President,Gary Johnson,Libertarian,Statewide,341
Daviess,President,Gary Johnson,Libertarian,Statewide,171
Adams,President,Gary Johnson,Libertarian,Statewide,262
Clark,President,Gary Johnson,Libertarian,Statewide,866
Clinton,President,Gary Johnson,Libertarian,Statewide,234
DeKalb,President,Gary Johnson,Libertarian,Statewide,309
Dubois,President,Gary Johnson,Libertarian,Statewide,366
Benton,President,Gary Johnson,Libertarian,Statewide,89
Clay,President,Gary Johnson,Libertarian,Statewide,227
Crawford,President,Gary Johnson,Libertarian,Statewide,128
Allen,President,Mitt Romney,Republican,Statewide,84613
Adams,President,Mitt Romney,Republican,Statewide,8937
Clinton,President,Mitt Romney,Republican,Statewide,6338
Dearborn,President,Mitt Romney,Republican,Statewide,15394
Elkhart,President,Mitt Romney,Republican,Statewide,42378
Blackford,President,Mitt Romney,Republican,Statewide,2711
Brown,President,Mitt Romney,Republican,Statewide,4332
Decatur,President,Mitt Romney,Republican,Statewide,7119
DeKalb,President,Mitt Romney,Republican,Statewide,10587
Delaware,President,Mitt Romney,Republican,Statewide,21251
Bartholomew,President,Mitt Romney,Republican,Statewide,18083
Benton,President,Mitt Romney,Republican,Statewide,2329
Cass,President,Mitt Romney,Republican,Statewide,8443
Clark,President,Mitt Romney,Republican,Statewide,25450
Dubois,President,Mitt Romney,Republican,Statewide,11654
Boone,President,Mitt Romney,Republican,Statewide,18808
Carroll,President,Mitt Romney,Republican,Statewide,4999
Clay,President,Mitt Romney,Republican,Statewide,7096
Crawford,President,Mitt Romney,Republican,Statewide,2421
Daviess,President,Mitt Romney,Republican,Statewide,7638
DeKalb,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Elkhart,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Allen,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Carroll,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Crawford,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Daviess,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Dubois,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Decatur,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Adams,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Benton,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Clark,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Clay,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Clinton,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Delaware,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Bartholomew,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Blackford,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Boone,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Dearborn,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Brown,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Cass,President,Christina Lopez,W/I (Freedom Socialist),Statewide,0
Bartholomew,President,Dennis Knill,W/I (Democratic),Statewide,0
Carroll,President,Dennis Knill,W/I (Democratic),Statewide,0
Daviess,President,Dennis Knill,W/I (Democratic),Statewide,0
Decatur,President,Dennis Knill,W/I (Democratic),Statewide,0
DeKalb,President,Dennis Knill,W/I (Democratic),Statewide,0
Delaware,President,Dennis Knill,W/I (Democratic),Statewide,0
Dubois,President,Dennis Knill,W/I (Democratic),Statewide,0
Brown,President,Dennis Knill,W/I (Democratic),Statewide,0
Dearborn,President,Dennis Knill,W/I (Democratic),Statewide,0
Elkhart,President,Dennis Knill,W/I (Democratic),Statewide,0
Allen,President,Dennis Knill,W/I (Democratic),Statewide,0
Benton,President,Dennis Knill,W/I (Democratic),Statewide,0
Blackford,President,Dennis Knill,W/I (Democratic),Statewide,0
Cass,President,Dennis Knill,W/I (Democratic),Statewide,0
Clark,President,Dennis Knill,W/I (Democratic),Statewide,6
Adams,President,Dennis Knill,W/I (Democratic),Statewide,0
Boone,President,Dennis Knill,W/I (Democratic),Statewide,0
Clay,President,Dennis Knill,W/I (Democratic),Statewide,0
Clinton,President,Dennis Knill,W/I (Democratic),Statewide,0
Crawford,President,Dennis Knill,W/I (Democratic),Statewide,0
Adams,President,Jill Reed,W/I (Independent),Statewide,0
Clark,President,Jill Reed,W/I (Independent),Statewide,0
Clay,President,Jill Reed,W/I (Independent),Statewide,0
Clinton,President,Jill Reed,W/I (Independent),Statewide,0
Allen,President,Jill Reed,W/I (Independent),Statewide,0
Bartholomew,President,Jill Reed,W/I (Independent),Statewide,0
Benton,President,Jill Reed,W/I (Independent),Statewide,0
Carroll,President,Jill Reed,W/I (Independent),Statewide,0
Crawford,President,Jill Reed,W/I (Independent),Statewide,0
Daviess,President,Jill Reed,W/I (Independent),Statewide,0
Dubois,President,Jill Reed,W/I (Independent),Statewide,0
Blackford,President,Jill Reed,W/I (Independent),Statewide,0
Cass,President,Jill Reed,W/I (Independent),Statewide,0
Dearborn,President,Jill Reed,W/I (Independent),Statewide,0
DeKalb,President,Jill Reed,W/I (Independent),Statewide,0
Boone,President,Jill Reed,W/I (Independent),Statewide,0
Brown,President,Jill Reed,W/I (Independent),Statewide,0
Decatur,President,Jill Reed,W/I (Independent),Statewide,0
Delaware,President,Jill Reed,W/I (Independent),Statewide,0
Elkhart,President,Jill Reed,W/I (Independent),Statewide,1
Adams,President,Jill Stein,W/I (Green),Statewide,4
Boone,President,Jill Stein,W/I (Green),Statewide,4
Clay,President,Jill Stein,W/I (Green),Statewide,1
Dearborn,President,Jill Stein,W/I (Green),Statewide,0
Decatur,President,Jill Stein,W/I (Green),Statewide,5
Delaware,President,Jill Stein,W/I (Green),Statewide,0
Elkhart,President,Jill Stein,W/I (Green),Statewide,19
Bartholomew,President,Jill Stein,W/I (Green),Statewide,4
Brown,President,Jill Stein,W/I (Green),Statewide,7
Carroll,President,Jill Stein,W/I (Green),Statewide,6
Cass,President,Jill Stein,W/I (Green),Statewide,6
Daviess,President,Jill Stein,W/I (Green),Statewide,3
DeKalb,President,Jill Stein,W/I (Green),Statewide,8
Dubois,President,Jill Stein,W/I (Green),Statewide,0
Allen,President,Jill Stein,W/I (Green),Statewide,72
Blackford,President,Jill Stein,W/I (Green),Statewide,2
Clark,President,Jill Stein,W/I (Green),Statewide,10
Benton,President,Jill Stein,W/I (Green),Statewide,1
Clinton,President,Jill Stein,W/I (Green),Statewide,1
Crawford,President,Jill Stein,W/I (Green),Statewide,0
Bartholomew,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
Blackford,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
Cass,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
Dearborn,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
Boone,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
Brown,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
Decatur,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
Delaware,President,"John A. Dummett, Jr",W/I (Republican),Statewide,0
