County,Office,Candidate,Party,District,Votes
Bartholomew,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",10071
Benton,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",847
Blackford,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",1275
Brown,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",2768
Cass,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",4061
Allen,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",55903
Boone,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",10981
Dearborn,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",4481
DeKalb,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",4204
Elkhart,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",21062
Clark,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",18551
Clay,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",2601
Decatur,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",2287
Delaware,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",18159
Adams,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",3146
Carroll,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",2071
Clinton,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",2755
Crawford,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",1504
Daviess,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",1901
Dubois,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",5264
Carroll,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Cass,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Daviess,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Decatur,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Delaware,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Dubois,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Adams,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Boone,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Clay,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Clinton,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Dearborn,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
DeKalb,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Elkhart,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Allen,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",1
Crawford,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Brown,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Bartholomew,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Benton,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Blackford,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Clark,US Senator,Christopher Fischer,Independent,"1,2,3,4,5,6,7,8,9",0
Adams,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Boone,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Clay,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Clinton,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Dearborn,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",1
DeKalb,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Elkhart,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Bartholomew,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",4
Brown,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Carroll,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Cass,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Daviess,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Decatur,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Delaware,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",4
Dubois,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Allen,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",5
Crawford,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Benton,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Blackford,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Clark,US Senator,Nathan Altman,Independent,"1,2,3,4,5,6,7,8,9",0
Benton,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",191
Brown,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",318
Clark,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",1967
Dubois,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",658
Allen,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",4080
Cass,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",772
Dearborn,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",487
Elkhart,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",1661
Adams,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",489
Carroll,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",325
Clay,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",469
Clinton,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",485
Crawford,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",207
Daviess,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",283
DeKalb,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",561
Bartholomew,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",1223
Blackford,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",300
Boone,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",1019
Decatur,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",473
Delaware,US Senator,Lucy M. Brenton,Libertarian,"1,2,3,4,5,6,7,8,9",2099
Adams,US Senator,James L. Johnson Jr.,Other,"1,2,3,4,5,6,7,8,9",0
Clark,US Senator,James L. Johnson Jr.,Other,"1,2,3,4,5,6,7,8,9",0
Delaware,US Senator,James L. Johnson Jr.,Other,"1,2,3,4,5,6,7,8,9",1
Blackford,US Senator,James L. Johnson Jr.,Other,"1,2,3,4,5,6,7,8,9",0
Boone,US Senator,James L. Johnson Jr.,Other,"1,2,3,4,5,6,7,8,9",0
Clinton,US Senator,James L. Johnson Jr.,Other,"1,2,3,4,5,6,7,8,9",0
Dearborn,US Senator,James L. Johnson Jr.,Other,"1,2,3,4,5,6,7,8,9",0
