County,Office,Candidate,Party,District,Votes
Brown,United States Senator,Brad Ellsworth,Democratic,Statewide,2608
Cass,United States Senator,Brad Ellsworth,Democratic,Statewide,3673
Delaware,United States Senator,Brad Ellsworth,Democratic,Statewide,14414
Adams,United States Senator,Brad Ellsworth,Democratic,Statewide,2880
Benton,United States Senator,Brad Ellsworth,Democratic,Statewide,667
Clark,United States Senator,Brad Ellsworth,Democratic,Statewide,13429
Clay,United States Senator,Brad Ellsworth,Democratic,Statewide,3187
Decatur,United States Senator,Brad Ellsworth,Democratic,Statewide,2283
Allen,United States Senator,Brad Ellsworth,Democratic,Statewide,31347
Bartholomew,United States Senator,Brad Ellsworth,Democratic,Statewide,6492
Blackford,United States Senator,Brad Ellsworth,Democratic,Statewide,1551
Boone,United States Senator,Brad Ellsworth,Democratic,Statewide,4944
Dearborn,United States Senator,Brad Ellsworth,Democratic,Statewide,3776
DeKalb,United States Senator,Brad Ellsworth,Democratic,Statewide,3479
Elkhart,United States Senator,Brad Ellsworth,Democratic,Statewide,13867
Carroll,United States Senator,Brad Ellsworth,Democratic,Statewide,1883
Clinton,United States Senator,Brad Ellsworth,Democratic,Statewide,2222
Crawford,United States Senator,Brad Ellsworth,Democratic,Statewide,1755
Daviess,United States Senator,Brad Ellsworth,Democratic,Statewide,2061
Dubois,United States Senator,Brad Ellsworth,Democratic,Statewide,6344
Blackford,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,230
Clark,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,1409
Adams,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,465
Boone,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,1419
Clay,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,465
Dearborn,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,663
Delaware,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,1547
Elkhart,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,1680
Bartholomew,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,1035
Brown,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,439
Carroll,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,512
Cass,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,775
Daviess,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,283
Decatur,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,526
DeKalb,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,671
Dubois,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,588
Allen,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,4125
Benton,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,160
Clinton,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,570
Crawford,United States Senator,Rebecca Sink-Burris,Libertarian,Statewide,192
Cass,United States Senator,Dan Coats,Republican,Statewide,6361
Decatur,United States Senator,Dan Coats,Republican,Statewide,4838
Delaware,United States Senator,Dan Coats,Republican,Statewide,14720
Adams,United States Senator,Dan Coats,Republican,Statewide,6181
Boone,United States Senator,Dan Coats,Republican,Statewide,12773
Clinton,United States Senator,Dan Coats,Republican,Statewide,4618
Dearborn,United States Senator,Dan Coats,Republican,Statewide,10589
Elkhart,United States Senator,Dan Coats,Republican,Statewide,30546
Carroll,United States Senator,Dan Coats,Republican,Statewide,3566
Clay,United States Senator,Dan Coats,Republican,Statewide,4543
Crawford,United States Senator,Dan Coats,Republican,Statewide,1803
Daviess,United States Senator,Dan Coats,Republican,Statewide,4690
DeKalb,United States Senator,Dan Coats,Republican,Statewide,7351
Dubois,United States Senator,Dan Coats,Republican,Statewide,7059
Blackford,United States Senator,Dan Coats,Republican,Statewide,2068
Brown,United States Senator,Dan Coats,Republican,Statewide,3201
Clark,United States Senator,Dan Coats,Republican,Statewide,17773
Allen,United States Senator,Dan Coats,Republican,Statewide,55454
Bartholomew,United States Senator,Dan Coats,Republican,Statewide,12243
Benton,United States Senator,Dan Coats,Republican,Statewide,1432
Bartholomew,United States Senator,Jack Rooney,W/I (Independent),Statewide,2
Benton,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Blackford,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Brown,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Cass,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Clark,United States Senator,Jack Rooney,W/I (Independent),Statewide,1
Decatur,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
DeKalb,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Delaware,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Allen,United States Senator,Jack Rooney,W/I (Independent),Statewide,10
Boone,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Clinton,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Dearborn,United States Senator,Jack Rooney,W/I (Independent),Statewide,3
Elkhart,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Adams,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Carroll,United States Senator,Jack Rooney,W/I (Independent),Statewide,1
Clay,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Crawford,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Daviess,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Dubois,United States Senator,Jack Rooney,W/I (Independent),Statewide,0
Adams,United States Senator,Jim Miller,Write-in,Statewide,0
Boone,United States Senator,Jim Miller,Write-in,Statewide,0
Clay,United States Senator,Jim Miller,Write-in,Statewide,1
Dearborn,United States Senator,Jim Miller,Write-in,Statewide,1
Decatur,United States Senator,Jim Miller,Write-in,Statewide,0
DeKalb,United States Senator,Jim Miller,Write-in,Statewide,0
Delaware,United States Senator,Jim Miller,Write-in,Statewide,0
Elkhart,United States Senator,Jim Miller,Write-in,Statewide,1
Bartholomew,United States Senator,Jim Miller,Write-in,Statewide,4
Brown,United States Senator,Jim Miller,Write-in,Statewide,0
Carroll,United States Senator,Jim Miller,Write-in,Statewide,1
Cass,United States Senator,Jim Miller,Write-in,Statewide,2
Daviess,United States Senator,Jim Miller,Write-in,Statewide,0
Dubois,United States Senator,Jim Miller,Write-in,Statewide,0
Clinton,United States Senator,Jim Miller,Write-in,Statewide,2
Crawford,United States Senator,Jim Miller,Write-in,Statewide,0
Allen,United States Senator,Jim Miller,Write-in,Statewide,21
Benton,United States Senator,Jim Miller,Write-in,Statewide,2
Blackford,United States Senator,Jim Miller,Write-in,Statewide,0
Clark,United States Senator,Jim Miller,Write-in,Statewide,1
Benton,Secretary of State,Vop Osili,Democratic,Statewide,544
Brown,Secretary of State,Vop Osili,Democratic,Statewide,2248
Dubois,Secretary of State,Vop Osili,Democratic,Statewide,4573
Bartholomew,Secretary of State,Vop Osili,Democratic,Statewide,5841
Blackford,Secretary of State,Vop Osili,Democratic,Statewide,1294
Clark,Secretary of State,Vop Osili,Democratic,Statewide,12141
Decatur,Secretary of State,Vop Osili,Democratic,Statewide,1797
Delaware,Secretary of State,Vop Osili,Democratic,Statewide,12727
Adams,Secretary of State,Vop Osili,Democratic,Statewide,2490
Carroll,Secretary of State,Vop Osili,Democratic,Statewide,1680
Clay,Secretary of State,Vop Osili,Democratic,Statewide,2355
Clinton,Secretary of State,Vop Osili,Democratic,Statewide,1931
Daviess,Secretary of State,Vop Osili,Democratic,Statewide,1608
DeKalb,Secretary of State,Vop Osili,Democratic,Statewide,3070
Elkhart,Secretary of State,Vop Osili,Democratic,Statewide,12820
Allen,Secretary of State,Vop Osili,Democratic,Statewide,29814
Boone,Secretary of State,Vop Osili,Democratic,Statewide,4392
Cass,Secretary of State,Vop Osili,Democratic,Statewide,3189
Crawford,Secretary of State,Vop Osili,Democratic,Statewide,1487
Dearborn,Secretary of State,Vop Osili,Democratic,Statewide,3312
Adams,Secretary of State,Mike Wherry,Libertarian,Statewide,646
Clark,Secretary of State,Mike Wherry,Libertarian,Statewide,1535
Clay,Secretary of State,Mike Wherry,Libertarian,Statewide,472
Clinton,Secretary of State,Mike Wherry,Libertarian,Statewide,599
Bartholomew,Secretary of State,Mike Wherry,Libertarian,Statewide,944
Blackford,Secretary of State,Mike Wherry,Libertarian,Statewide,265
Boone,Secretary of State,Mike Wherry,Libertarian,Statewide,1388
Carroll,Secretary of State,Mike Wherry,Libertarian,Statewide,424
Cass,Secretary of State,Mike Wherry,Libertarian,Statewide,750
Daviess,Secretary of State,Mike Wherry,Libertarian,Statewide,319
Decatur,Secretary of State,Mike Wherry,Libertarian,Statewide,515
DeKalb,Secretary of State,Mike Wherry,Libertarian,Statewide,836
Delaware,Secretary of State,Mike Wherry,Libertarian,Statewide,1724
Allen,Secretary of State,Mike Wherry,Libertarian,Statewide,5377
Benton,Secretary of State,Mike Wherry,Libertarian,Statewide,162
Crawford,Secretary of State,Mike Wherry,Libertarian,Statewide,223
Dubois,Secretary of State,Mike Wherry,Libertarian,Statewide,759
Brown,Secretary of State,Mike Wherry,Libertarian,Statewide,416
Dearborn,Secretary of State,Mike Wherry,Libertarian,Statewide,831
Elkhart,Secretary of State,Mike Wherry,Libertarian,Statewide,2087
Adams,Secretary of State,Charlie White,Republican,Statewide,6087
Carroll,Secretary of State,Charlie White,Republican,Statewide,3766
Clay,Secretary of State,Charlie White,Republican,Statewide,5159
Clinton,Secretary of State,Charlie White,Republican,Statewide,4762
Crawford,Secretary of State,Charlie White,Republican,Statewide,1891
Daviess,Secretary of State,Charlie White,Republican,Statewide,4913
DeKalb,Secretary of State,Charlie White,Republican,Statewide,7326
Dubois,Secretary of State,Charlie White,Republican,Statewide,7731
Bartholomew,Secretary of State,Charlie White,Republican,Statewide,12752
Blackford,Secretary of State,Charlie White,Republican,Statewide,2132
Boone,Secretary of State,Charlie White,Republican,Statewide,13129
Decatur,Secretary of State,Charlie White,Republican,Statewide,5159
Delaware,Secretary of State,Charlie White,Republican,Statewide,15456
Allen,Secretary of State,Charlie White,Republican,Statewide,54244
Cass,Secretary of State,Charlie White,Republican,Statewide,6767
Dearborn,Secretary of State,Charlie White,Republican,Statewide,10616
Elkhart,Secretary of State,Charlie White,Republican,Statewide,30202
Benton,Secretary of State,Charlie White,Republican,Statewide,1486
Brown,Secretary of State,Charlie White,Republican,Statewide,3446
Clark,Secretary of State,Charlie White,Republican,Statewide,18124
Adams,Auditor of State,Sam Locke,Democratic,Statewide,2470
Benton,Auditor of State,Sam Locke,Democratic,Statewide,536
Clark,Auditor of State,Sam Locke,Democratic,Statewide,13337
Clay,Auditor of State,Sam Locke,Democratic,Statewide,2523
Crawford,Auditor of State,Sam Locke,Democratic,Statewide,1668
Allen,Auditor of State,Sam Locke,Democratic,Statewide,25221
Bartholomew,Auditor of State,Sam Locke,Democratic,Statewide,5548
Blackford,Auditor of State,Sam Locke,Democratic,Statewide,1386
Boone,Auditor of State,Sam Locke,Democratic,Statewide,3868
Carroll,Auditor of State,Sam Locke,Democratic,Statewide,1687
Cass,Auditor of State,Sam Locke,Democratic,Statewide,3260
Daviess,Auditor of State,Sam Locke,Democratic,Statewide,1496
DeKalb,Auditor of State,Sam Locke,Democratic,Statewide,2941
Clinton,Auditor of State,Sam Locke,Democratic,Statewide,1708
Dubois,Auditor of State,Sam Locke,Democratic,Statewide,4952
Brown,Auditor of State,Sam Locke,Democratic,Statewide,2309
Dearborn,Auditor of State,Sam Locke,Democratic,Statewide,3899
Decatur,Auditor of State,Sam Locke,Democratic,Statewide,1779
Delaware,Auditor of State,Sam Locke,Democratic,Statewide,13176
Elkhart,Auditor of State,Sam Locke,Democratic,Statewide,13031
Allen,Auditor of State,Eric Knipe,Libertarian,Statewide,3415
Bartholomew,Auditor of State,Eric Knipe,Libertarian,Statewide,754
Benton,Auditor of State,Eric Knipe,Libertarian,Statewide,130
Clark,Auditor of State,Eric Knipe,Libertarian,Statewide,1408
Dubois,Auditor of State,Eric Knipe,Libertarian,Statewide,489
Blackford,Auditor of State,Eric Knipe,Libertarian,Statewide,163
Brown,Auditor of State,Eric Knipe,Libertarian,Statewide,386
Carroll,Auditor of State,Eric Knipe,Libertarian,Statewide,341
Cass,Auditor of State,Eric Knipe,Libertarian,Statewide,621
Daviess,Auditor of State,Eric Knipe,Libertarian,Statewide,231
DeKalb,Auditor of State,Eric Knipe,Libertarian,Statewide,601
Boone,Auditor of State,Eric Knipe,Libertarian,Statewide,943
Dearborn,Auditor of State,Eric Knipe,Libertarian,Statewide,759
Decatur,Auditor of State,Eric Knipe,Libertarian,Statewide,292
Delaware,Auditor of State,Eric Knipe,Libertarian,Statewide,1300
Elkhart,Auditor of State,Eric Knipe,Libertarian,Statewide,1887
Adams,Auditor of State,Eric Knipe,Libertarian,Statewide,470
Clay,Auditor of State,Eric Knipe,Libertarian,Statewide,330
Clinton,Auditor of State,Eric Knipe,Libertarian,Statewide,386
Crawford,Auditor of State,Eric Knipe,Libertarian,Statewide,181
Allen,Auditor of State,Tim Berry,Republican,Statewide,60030
Blackford,Auditor of State,Tim Berry,Republican,Statewide,2128
Boone,Auditor of State,Tim Berry,Republican,Statewide,13659
Dearborn,Auditor of State,Tim Berry,Republican,Statewide,10043
Elkhart,Auditor of State,Tim Berry,Republican,Statewide,29835
Carroll,Auditor of State,Tim Berry,Republican,Statewide,3832
Clay,Auditor of State,Tim Berry,Republican,Statewide,5028
Clinton,Auditor of State,Tim Berry,Republican,Statewide,4955
Crawford,Auditor of State,Tim Berry,Republican,Statewide,1755
Daviess,Auditor of State,Tim Berry,Republican,Statewide,4893
DeKalb,Auditor of State,Tim Berry,Republican,Statewide,7449
Dubois,Auditor of State,Tim Berry,Republican,Statewide,7280
Adams,Auditor of State,Tim Berry,Republican,Statewide,6293
Clark,Auditor of State,Tim Berry,Republican,Statewide,16940
Decatur,Auditor of State,Tim Berry,Republican,Statewide,5016
Delaware,Auditor of State,Tim Berry,Republican,Statewide,15276
Bartholomew,Auditor of State,Tim Berry,Republican,Statewide,12627
Benton,Auditor of State,Tim Berry,Republican,Statewide,1531
Brown,Auditor of State,Tim Berry,Republican,Statewide,3391
Cass,Auditor of State,Tim Berry,Republican,Statewide,6824
Brown,Treasurer of State,Pete Buttigieg,Democratic,Statewide,2358
Delaware,Treasurer of State,Pete Buttigieg,Democratic,Statewide,13235
