County,Office,Candidate,Party,District,Votes
Adams,United States Senator,Richard G. Lugar,Republican,Statewide,1694
Boone,United States Senator,Richard G. Lugar,Republican,Statewide,6912
Clinton,United States Senator,Richard G. Lugar,Republican,Statewide,3459
Dearborn,United States Senator,Richard G. Lugar,Republican,Statewide,3353
Elkhart,United States Senator,Richard G. Lugar,Republican,Statewide,11500
Allen,United States Senator,Richard G. Lugar,Republican,Statewide,22065
Bartholomew,United States Senator,Richard G. Lugar,Republican,Statewide,7634
Benton,United States Senator,Richard G. Lugar,Republican,Statewide,2094
Blackford,United States Senator,Richard G. Lugar,Republican,Statewide,827
Cass,United States Senator,Richard G. Lugar,Republican,Statewide,3932
Carroll,United States Senator,Richard G. Lugar,Republican,Statewide,2912
Clay,United States Senator,Richard G. Lugar,Republican,Statewide,1714
Crawford,United States Senator,Richard G. Lugar,Republican,Statewide,490
Daviess,United States Senator,Richard G. Lugar,Republican,Statewide,2375
Brown,United States Senator,Richard G. Lugar,Republican,Statewide,1572
Clark,United States Senator,Richard G. Lugar,Republican,Statewide,2349
Decatur,United States Senator,Richard G. Lugar,Republican,Statewide,2771
DeKalb,United States Senator,Richard G. Lugar,Republican,Statewide,3702
Delaware,United States Senator,Richard G. Lugar,Republican,Statewide,6445
Dubois,United States Senator,Richard G. Lugar,Republican,Statewide,820
Benton,United States Representative,Peter J. Visclosky,Democratic,District 1,161
Benton,United States Representative,Jayson Reeves,Republican,District 1,236
Benton,United States Representative,Lewis (149 Farmer) Hass,Republican,District 1,636
Benton,United States Representative,Mark J. Leyva,Republican,District 1,691
Benton,United States Representative,Richard (Ric) Holtz,Republican,District 1,397
Cass,United States Representative,Joe Donnelly,Democratic,District 2,933
Elkhart,United States Representative,Joe Donnelly,Democratic,District 2,2136
Carroll,United States Representative,Joe Donnelly,Democratic,District 2,514
Cass,United States Representative,Steve Francis,Democratic,District 2,279
Carroll,United States Representative,Steve Francis,Democratic,District 2,157
Elkhart,United States Representative,Steve Francis,Democratic,District 2,599
Carroll,United States Representative,Chris Chocola,Republican,District 2,2353
Elkhart,United States Representative,Chris Chocola,Republican,District 2,3394
Cass,United States Representative,Chris Chocola,Republican,District 2,2996
Elkhart,United States Representative,Tony Zirkle,Republican,District 2,1587
Carroll,United States Representative,Tony Zirkle,Republican,District 2,742
Cass,United States Representative,Tony Zirkle,Republican,District 2,1136
DeKalb,United States Representative,Edward W. Smith,Democratic,District 3,103
Elkhart,United States Representative,Edward W. Smith,Democratic,District 3,274
Allen,United States Representative,Edward W. Smith,Democratic,District 3,897
Elkhart,United States Representative,Kevin Boyd,Democratic,District 3,609
Allen,United States Representative,Kevin Boyd,Democratic,District 3,924
DeKalb,United States Representative,Kevin Boyd,Democratic,District 3,179
DeKalb,United States Representative,Thomas Allen Schrader,Democratic,District 3,120
Allen,United States Representative,Thomas Allen Schrader,Democratic,District 3,585
Elkhart,United States Representative,Thomas Allen Schrader,Democratic,District 3,395
Elkhart,United States Representative,Thomas Hayhurst,Democratic,District 3,709
Allen,United States Representative,Thomas Hayhurst,Democratic,District 3,8429
DeKalb,United States Representative,Thomas Hayhurst,Democratic,District 3,727
Elkhart,United States Representative,Mark Edward Souder,Republican,District 3,5490
Allen,United States Representative,Mark Edward Souder,Republican,District 3,15577
DeKalb,United States Representative,Mark Edward Souder,Republican,District 3,2960
DeKalb,United States Representative,William Larsen,Republican,District 3,1341
Elkhart,United States Representative,William Larsen,Republican,District 3,1983
Allen,United States Representative,William Larsen,Republican,District 3,6571
Clinton,United States Representative,Darin S. Kinser,Democratic,District 4,190
Boone,United States Representative,Darin S. Kinser,Democratic,District 4,172
Clinton,United States Representative,David Sanders,Democratic,District 4,501
Boone,United States Representative,David Sanders,Democratic,District 4,424
Boone,United States Representative,Rick Cornstuble,Democratic,District 4,178
Clinton,United States Representative,Rick Cornstuble,Democratic,District 4,281
Clinton,United States Representative,Mike Campbell,Republican,District 4,811
Boone,United States Representative,Mike Campbell,Republican,District 4,2069
Boone,United States Representative,Steve Buyer,Republican,District 4,5047
Clinton,United States Representative,Steve Buyer,Republican,District 4,2827
Adams,United States Representative,Barry A. Welsh,Democratic,District 6,755
Allen,United States Representative,Barry A. Welsh,Democratic,District 6,245
Bartholomew,United States Representative,Barry A. Welsh,Democratic,District 6,965
Blackford,United States Representative,Barry A. Welsh,Democratic,District 6,714
Dearborn,United States Representative,Barry A. Welsh,Democratic,District 6,100
