County,Office,Candidate,Party,District,Votes
Allen,President,Hillary Clinton,Democratic,Statewide,55382
Bartholomew,President,Hillary Clinton,Democratic,Statewide,9841
Boone,President,Hillary Clinton,Democratic,Statewide,10181
Dearborn,President,Hillary Clinton,Democratic,Statewide,4883
Elkhart,President,Hillary Clinton,Democratic,Statewide,20740
Adams,President,Hillary Clinton,Democratic,Statewide,2805
Carroll,President,Hillary Clinton,Democratic,Statewide,1892
Clay,President,Hillary Clinton,Democratic,Statewide,2306
Clinton,President,Hillary Clinton,Democratic,Statewide,2819
Crawford,President,Hillary Clinton,Democratic,Statewide,1323
Daviess,President,Hillary Clinton,Democratic,Statewide,1800
DeKalb,President,Hillary Clinton,Democratic,Statewide,3942
Benton,President,Hillary Clinton,Democratic,Statewide,860
Decatur,President,Hillary Clinton,Democratic,Statewide,2121
Delaware,President,Hillary Clinton,Democratic,Statewide,18153
Dubois,President,Hillary Clinton,Democratic,Statewide,5389
Blackford,President,Hillary Clinton,Democratic,Statewide,1243
Brown,President,Hillary Clinton,Democratic,Statewide,2518
Cass,President,Hillary Clinton,Democratic,Statewide,3759
Clark,President,Hillary Clinton,Democratic,Statewide,18808
Allen,President,Gary Johnson,Libertarian,Statewide,6802
Bartholomew,President,Gary Johnson,Libertarian,Statewide,1911
Boone,President,Gary Johnson,Libertarian,Statewide,2226
Carroll,President,Gary Johnson,Libertarian,Statewide,445
Cass,President,Gary Johnson,Libertarian,Statewide,680
Daviess,President,Gary Johnson,Libertarian,Statewide,391
DeKalb,President,Gary Johnson,Libertarian,Statewide,821
Benton,President,Gary Johnson,Libertarian,Statewide,215
Clark,President,Gary Johnson,Libertarian,Statewide,2304
Clay,President,Gary Johnson,Libertarian,Statewide,426
Crawford,President,Gary Johnson,Libertarian,Statewide,255
Dubois,President,Gary Johnson,Libertarian,Statewide,1163
Blackford,President,Gary Johnson,Libertarian,Statewide,230
Brown,President,Gary Johnson,Libertarian,Statewide,375
