County,Office,Candidate,Party,District,Votes
Allen,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,24966
Bartholomew,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,5238
Boone,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,3590
Cass,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,2732
Blackford,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,1062
Clark,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,11904
Decatur,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,1872
Delaware,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,10760
Elkhart,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,9248
Adams,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,2146
Carroll,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,1143
Clay,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,2221
Clinton,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,1671
Crawford,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,1482
Daviess,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,1434
DeKalb,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,1875
Dearborn,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,2462
Benton,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,609
Brown,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,2157
Dubois,Secretary of State,Elizabeth "Beth" White,Democratic,Statewide,4123
Allen,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,2457
Blackford,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,83
Cass,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,278
Dearborn,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,500
Elkhart,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,835
Benton,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,86
Brown,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,182
Clark,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,1151
Boone,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,529
Decatur,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,194
Delaware,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,652
Adams,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,242
Carroll,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,129
Clay,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,210
Clinton,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,184
Crawford,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,135
Daviess,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,180
DeKalb,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,314
Dubois,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,332
Bartholomew,Secretary of State,Karl Tatgenhorst,Libertarian,Statewide,515
Daviess,Secretary of State,Connie Lawson,Republican,Statewide,4684
DeKalb,Secretary of State,Connie Lawson,Republican,Statewide,5245
Dubois,Secretary of State,Connie Lawson,Republican,Statewide,6455
Bartholomew,Secretary of State,Connie Lawson,Republican,Statewide,10585
Brown,Secretary of State,Connie Lawson,Republican,Statewide,2892
Cass,Secretary of State,Connie Lawson,Republican,Statewide,4824
Decatur,Secretary of State,Connie Lawson,Republican,Statewide,4449
Delaware,Secretary of State,Connie Lawson,Republican,Statewide,10936
Allen,Secretary of State,Connie Lawson,Republican,Statewide,45450
Carroll,Secretary of State,Connie Lawson,Republican,Statewide,2647
Crawford,Secretary of State,Connie Lawson,Republican,Statewide,1770
Adams,Secretary of State,Connie Lawson,Republican,Statewide,5092
Benton,Secretary of State,Connie Lawson,Republican,Statewide,1539
Clark,Secretary of State,Connie Lawson,Republican,Statewide,15487
Clay,Secretary of State,Connie Lawson,Republican,Statewide,4415
Clinton,Secretary of State,Connie Lawson,Republican,Statewide,4012
Blackford,Secretary of State,Connie Lawson,Republican,Statewide,1524
Boone,Secretary of State,Connie Lawson,Republican,Statewide,9635
Dearborn,Secretary of State,Connie Lawson,Republican,Statewide,7359
Elkhart,Secretary of State,Connie Lawson,Republican,Statewide,23466
Adams,Auditor of State,Michael A. Claytor,Democratic,Statewide,1984
Clark,Auditor of State,Michael A. Claytor,Democratic,Statewide,11369
Clinton,Auditor of State,Michael A. Claytor,Democratic,Statewide,1317
Delaware,Auditor of State,Michael A. Claytor,Democratic,Statewide,9883
Blackford,Auditor of State,Michael A. Claytor,Democratic,Statewide,1016
Boone,Auditor of State,Michael A. Claytor,Democratic,Statewide,3058
Dearborn,Auditor of State,Michael A. Claytor,Democratic,Statewide,2340
Elkhart,Auditor of State,Michael A. Claytor,Democratic,Statewide,8460
Allen,Auditor of State,Michael A. Claytor,Democratic,Statewide,22362
Carroll,Auditor of State,Michael A. Claytor,Democratic,Statewide,914
Clay,Auditor of State,Michael A. Claytor,Democratic,Statewide,1985
Crawford,Auditor of State,Michael A. Claytor,Democratic,Statewide,1413
Daviess,Auditor of State,Michael A. Claytor,Democratic,Statewide,1251
DeKalb,Auditor of State,Michael A. Claytor,Democratic,Statewide,1728
Dubois,Auditor of State,Michael A. Claytor,Democratic,Statewide,3858
