County,Office,Candidate,Party,District,Votes
Allen,President,John F. Kerry,Democratic,Statewide,46710
Dearborn,President,John F. Kerry,Democratic,Statewide,6596
Elkhart,President,John F. Kerry,Democratic,Statewide,17966
Benton,President,John F. Kerry,Democratic,Statewide,1135
Brown,President,John F. Kerry,Democratic,Statewide,2730
Dubois,President,John F. Kerry,Democratic,Statewide,5210
Bartholomew,President,John F. Kerry,Democratic,Statewide,9191
Blackford,President,John F. Kerry,Democratic,Statewide,1903
Cass,President,John F. Kerry,Democratic,Statewide,4315
Clark,President,John F. Kerry,Democratic,Statewide,17648
Decatur,President,John F. Kerry,Democratic,Statewide,2621
Delaware,President,John F. Kerry,Democratic,Statewide,20436
Adams,President,John F. Kerry,Democratic,Statewide,3512
Boone,President,John F. Kerry,Democratic,Statewide,5636
Carroll,President,John F. Kerry,Democratic,Statewide,2689
Clay,President,John F. Kerry,Democratic,Statewide,3333
Clinton,President,John F. Kerry,Democratic,Statewide,3335
Crawford,President,John F. Kerry,Democratic,Statewide,1932
Daviess,President,John F. Kerry,Democratic,Statewide,2573
DeKalb,President,John F. Kerry,Democratic,Statewide,4810
Allen,President,Michael Badnarik,Libertarian,Statewide,728
Bartholomew,President,Michael Badnarik,Libertarian,Statewide,207
Benton,President,Michael Badnarik,Libertarian,Statewide,54
Cass,President,Michael Badnarik,Libertarian,Statewide,127
Carroll,President,Michael Badnarik,Libertarian,Statewide,78
Clay,President,Michael Badnarik,Libertarian,Statewide,80
Crawford,President,Michael Badnarik,Libertarian,Statewide,33
Daviess,President,Michael Badnarik,Libertarian,Statewide,80
Clinton,President,Michael Badnarik,Libertarian,Statewide,71
Dearborn,President,Michael Badnarik,Libertarian,Statewide,117
Elkhart,President,Michael Badnarik,Libertarian,Statewide,363
Adams,President,Michael Badnarik,Libertarian,Statewide,91
Boone,President,Michael Badnarik,Libertarian,Statewide,192
Blackford,President,Michael Badnarik,Libertarian,Statewide,30
Brown,President,Michael Badnarik,Libertarian,Statewide,84
Clark,President,Michael Badnarik,Libertarian,Statewide,194
Decatur,President,Michael Badnarik,Libertarian,Statewide,78
DeKalb,President,Michael Badnarik,Libertarian,Statewide,106
Delaware,President,Michael Badnarik,Libertarian,Statewide,407
